id,jurisdiction_code,jurisdiction_name,region,urbanisation_index,service_category,service_category_full,regulated_scope,can_medication_administer,can_transfer_assist,can_bathing_toileting,can_wound_care_basic,can_catheter_ostomy,can_housekeeping,can_meal_prep,regulating_body,training_hours_min,certification_required,private_pay_rate_cad_low,private_pay_rate_cad_median,private_pay_rate_cad_high,agency_markup_typical,subsidized_program_name,subsidized_program_source_id,subsidized_program_url,subsidized_eligibility,subsidy_max_hours_per_week,subsidy_waitlist_typical_days,employer_obligations_private_hire,source_ids,source_retrieved_date,notes
1,ON,Ontario,Central,high,PSW,Personal Support Worker,"Assists with activities of daily living including bathing, toileting, dressing, feeding, ambulation, and transfers. May provide medication reminders but not administer controlled substances without delegation. Scope excludes wound care beyond basic dressing changes and clinical nursing procedures.",False,True,True,False,False,True,True,Ontario PSW Registry (voluntary); NACC curriculum standard,600,Voluntary,28.0,35.0,42.0,1.38,Home and Community Care Support Services (HCCSS),hccss-ontario,https://www.ontario.ca/page/homecare-seniors,Referral via HCCSS; needs-based; prioritises post-hospital,14,45,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;hccss-ontario,2026-04-09,
2,ON,Ontario,Central,high,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,College of Nurses of Ontario (CNO),3500,Mandatory,38.0,50.0,62.0,1.38,Home and Community Care Support Services (HCCSS),hccss-ontario,https://www.ontario.ca/page/homecare-seniors,Referral via HCCSS; needs-based; prioritises post-hospital,14,45,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;hccss-ontario,2026-04-09,
3,ON,Ontario,Central,high,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,College of Nurses of Ontario (CNO),5400,Mandatory,54.0,74.5,95.0,1.38,Home and Community Care Support Services (HCCSS),hccss-ontario,https://www.ontario.ca/page/homecare-seniors,Referral via HCCSS; needs-based; prioritises post-hospital,14,45,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;hccss-ontario,2026-04-09,
4,ON,Ontario,Central,high,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,22.0,28.0,34.0,1.38,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;hccss-ontario,2026-04-09,
5,ON,Ontario,Central,high,Housekeeper_Private,Housekeeper (private hire),"Performs cleaning, laundry, and basic meal preparation. Not authorised for any personal care task. Private-hire arrangements engage CRA employer obligations above statutory thresholds (CPP, EI, provincial WSIB, T4).",False,False,False,False,False,True,True,Unregulated,0,None,22.0,29.0,36.0,1.38,,,,,0.0,0,CRA employer determination likely; WSIB coverage assessment advised,statcan-14-10-0417-01;statcan-18-10-0004-01;hccss-ontario,2026-04-09,
6,ON,Ontario,Central,high,Cleaning_Service_Agency,Cleaning service (agency),"Agency-provided housekeeping with employer of record handling CPP, EI, WSIB, liability insurance, and staff supervision. Scope strictly limited to cleaning, laundry, and basic meal preparation. Not authorised for any personal care.",False,False,False,False,False,True,True,Unregulated occupation; agencies register with provincial employer-of-record authorities,0,None,38.0,51.5,65.0,1.38,,,,,0.0,0,None — agency is employer of record,statcan-14-10-0417-01;statcan-18-10-0004-01;hccss-ontario,2026-04-09,
7,QC,Quebec,Central,high,PSW,Personal Support Worker,"Assists with activities of daily living including bathing, toileting, dressing, feeding, ambulation, and transfers. May provide medication reminders but not administer controlled substances without delegation. Scope excludes wound care beyond basic dressing changes and clinical nursing procedures.",False,True,True,False,False,True,True,Ordre professionnel — Préposé aux bénéficiaires (DEP),870,Mandatory,25.76,32.2,38.64,1.3,Soutien à domicile — CLSC,quebec-clsc-sad,https://www.quebec.ca/en/health/health-system-and-services/home-support/home-care-services,Universal access through CLSC; user contribution may apply,20,60,"CRA employer registration above threshold; CPP, EI, provincial WSIB/WorkSafe, T4",statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;quebec-clsc-sad,2026-04-09,
8,QC,Quebec,Central,high,LPN_RPN,Licensed Practical Nurse / Registered Practical Nurse,"Regulated nursing professional. Administers medications, performs wound care, manages catheters and ostomies, monitors vital signs. Scope varies by provincial regulating college. In Ontario the title is Registered Practical Nurse (RPN).",True,True,True,True,True,False,False,Ordre des infirmières et infirmiers auxiliaires du Québec (OIIAQ),3500,Mandatory,34.96,46.0,57.04,1.3,Soutien à domicile — CLSC,quebec-clsc-sad,https://www.quebec.ca/en/health/health-system-and-services/home-support/home-care-services,Universal access through CLSC; user contribution may apply,20,60,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;quebec-clsc-sad,2026-04-09,
9,QC,Quebec,Central,high,RN,Registered Nurse,"Regulated nursing professional with independent clinical judgement. Full medication administration including IV, complex wound care, chronic disease management, care plan authorship.",True,True,True,True,True,False,False,Ordre des infirmières et infirmiers du Québec (OIIQ),5400,Mandatory,49.68,68.54,87.4,1.3,Soutien à domicile — CLSC,quebec-clsc-sad,https://www.quebec.ca/en/health/health-system-and-services/home-support/home-care-services,Universal access through CLSC; user contribution may apply,20,60,Regulated nurse engagement; contractor or agency preferred; professional liability coverage,statcan-14-10-0417-01;statcan-18-10-0004-01;cihi-hcrs-indicators;chca-high-value-home-care;quebec-clsc-sad,2026-04-09,
10,QC,Quebec,Central,high,Companion,Companion / Sitter,"Provides social support, supervision, light errands, and transportation. Not authorised for personal care tasks such as bathing, toileting, or medication handling. Not a regulated occupation.",False,False,False,False,False,False,True,Unregulated,0,None,20.24,25.76,31.28,1.3,,,,,0.0,0,Often contractor; consult CRA employee-vs-contractor factors,statcan-14-10-0417-01;statcan-18-10-0004-01;quebec-clsc-sad,2026-04-09,
